,0,1,2,3,4,5,NMR_Peaks,OnRing,OnRing,NotOnRing,O-C(F)=C-
0_From_Review_163,['C'],"['C', 'H']","['F', 'C']","['C', 'C']","['C', 'H', 'C', 'H']","['C', 'H', 'C', 'H']",-165,,,-165,
3_From_Review_163,['C'],"['C', 'C']","['F', 'H', 'C', 'C']","['C', 'H', 'C', 'H']","['C', 'H', 'C', 'H']","['H', 'H']",-143,,,-143,
0_From_Review_164,['C'],"['I', 'C']","['F', 'C']","['C', 'C']","['C', 'H', 'C', 'H']","['C', 'H', 'C', 'H']",-101,,,-101,
4_From_Review_164,['C'],"['C', 'C']","['F', 'I', 'C', 'C']","['C', 'H', 'C', 'H']","['C', 'H', 'C', 'H']","['H', 'H']",-109,,,-109,
2_From_Review_165,['C'],"['C', 'C']","['H', 'H', 'H', 'F', 'C']","['O', 'H', 'H']",['H'],[],-145,,,-145,
4_From_Review_165,['C'],"['C', 'C']","['C', 'F', 'O', 'H', 'H']","['H', 'H', 'H', 'H']",[],[],-134,,,-134,
2_From_Review_166,['C'],"['C', 'C']","['H', 'H', 'H', 'F', 'C']","['O', 'H', 'H']",['H'],[],-127,,,-127,
4_From_Review_166,['C'],"['C', 'C']","['C', 'F', 'O', 'H', 'H']","['H', 'H', 'H', 'H']",[],[],-148,,,-148,
3_From_Review_167,['C'],"['C', 'C']","['O', 'H', 'H', 'F', 'Cl']",['H'],[],[],-152,,,-152,
5_From_Review_167,['C'],"['C', 'Cl']","['C', 'F']","['O', 'H', 'H']",['H'],[],-122,,,-122,
3_From_Review_168,['C'],"['C', 'C']","['O', 'H', 'H', 'F', 'Cl']",['H'],[],[],-141,,,-141,
5_From_Review_168,['C'],"['C', 'Cl']","['C', 'F']","['O', 'H', 'H']",['H'],[],-104,,,-104,
13_From_Review_169,['C'],"['C', 'H']","['C', 'H']","['O', 'O']",['C'],"['C', 'H', 'H']",-112,,,-112,
8_From_Review_170,['C'],"['C', 'H']","['C', 'C']","['C', 'H', 'H', 'O', 'O']","['C', 'H', 'H', 'C']","['C', 'H', 'H', 'H', 'H', 'H']",-117,,,-117,
5_From_Review_171,['C'],"['C', 'C']","['C', 'H', 'H', 'C', 'H']","['C', 'H', 'H', 'O', 'C']","['C', 'H', 'H', 'C', 'H', 'H']","['H', 'H', 'H', 'H', 'H', 'H']",-82,,,-82,
5_From_Review_172,['C'],"['C', 'C']","['C', 'H', 'H', 'C', 'H']","['C', 'H', 'H', 'O', 'C']","['C', 'H', 'H', 'C', 'H', 'H']","['H', 'H', 'H', 'H', 'H', 'H']",-78,,,-78,
3_From_Review_173,['C'],"['C', 'C']","['C', 'H', 'H', 'C', 'H']","['H', 'H', 'H', 'O', 'O']",['H'],[],-73,,,-73,
5_From_Review_174,['C'],"['C', 'C']","['C', 'H', 'H', 'C', 'H']","['C', 'H', 'H', 'O', 'O']","['C', 'H', 'H', 'C']","['H', 'H', 'H', 'H', 'H', 'H']",-76,,,-76,
5_From_Review_175,['C'],"['C', 'C']","['C', 'H', 'H', 'C', 'H']","['C', 'H', 'H', 'O', 'O']","['C', 'H', 'H', 'C']","['H', 'H', 'H', 'H', 'H', 'H']",-79,,,-79,
6_From_Review_176,['C'],"['C', 'C']","['C', 'H', 'C', 'C']","['O', 'O', 'C', 'H', 'C', 'H']","['C', 'C', 'H', 'C', 'H']","['H', 'H', 'H', 'H', 'H']",-97,,,-97,
2_From_Review_177,['C'],"['C', 'C']","['H', 'H', 'C', 'O']","['H', 'H', 'H']",[],[],-116,,,-116,
2_From_Review_178,['C'],"['C', 'C']","['H', 'H', 'O', 'O']",['C'],"['C', 'H', 'H']","['C', 'H', 'H']",-117,,,-117,
6_From_Review_179,['C'],"['C', 'C']","['O', 'O', 'C', 'H']","['C', 'C', 'C']","['C', 'H', 'H', 'C', 'H', 'C', 'H']","['H', 'H', 'H', 'C', 'H', 'C', 'H']",-126,,,-126,
6_From_Review_180,['C'],"['C', 'C']","['O', 'O', 'C', 'H']","['C', 'C', 'C']","['C', 'H', 'H', 'C', 'H', 'C', 'H']","['H', 'H', 'H', 'C', 'H', 'C', 'H']",-118,1,-118,,
9_From_Review_181,['C'],"['C', 'C']","['C', 'H', 'O', 'O']","['C', 'H', 'H', 'C']","['C', 'H', 'H', 'C', 'C', 'C']","['C', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']",-130.6,,,-130.6,
9_From_Review_182,['C'],"['C', 'C']","['C', 'H', 'O', 'O']","['C', 'H', 'H', 'C']","['C', 'H', 'H', 'C', 'C', 'C']","['C', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']",-121.3,,,-121.3,
0_From_Review_195,['C'],"['C', 'C']","['C', 'H', 'C', 'H']","['C', 'H', 'C', 'H']","['H', 'H']",[],-113,1,-113,,
0_From_Review_196,['C'],"['C', 'C']","['C', 'H', 'C', 'F']","['C', 'H', 'C', 'H']","['H', 'H']",[],-139,1,-139,,
7_From_Review_196,['C'],"['C', 'C']","['C', 'H', 'F', 'C']","['C', 'H', 'C', 'H']","['H', 'H']",[],-139,1,-139,,
0_From_Review_197,['C'],"['C', 'C']","['C', 'H', 'C', 'H']","['C', 'H', 'C', 'F']","['H', 'H']",[],-110,1,-110,,
6_From_Review_197,['C'],"['C', 'C']","['C', 'H', 'C', 'H']","['C', 'H', 'F', 'C']","['H', 'H']",[],-110,1,-110,,
0_From_Review_198,['C'],"['C', 'C']","['C', 'H', 'C', 'H']","['C', 'H', 'C', 'H']","['F', 'F']",[],-120,1,-120,,
0_From_Review_199,['C'],"['C', 'C']","['C', 'H', 'C', 'H']","['F', 'C', 'C', 'F']","['H', 'H']",[],-101,1,-101,,
4_From_Review_199,['C'],"['C', 'C']","['C', 'H', 'C', 'H']","['F', 'C', 'F', 'C']","['H', 'H']",[],-101,1,-101,,
7_From_Review_199,['C'],"['C', 'C']","['C', 'H', 'C', 'H']","['C', 'F', 'F', 'C']","['H', 'H']",[],-101,1,-101,,
0_From_Review_200,['C'],"['C', 'C']","['F', 'C', 'C', 'F']","['F', 'C', 'C', 'F']","['F', 'F']",[],-162,1,-162,,
3_From_Review_200,['C'],"['C', 'C']","['F', 'C', 'F', 'C']","['C', 'F', 'F', 'C']","['F', 'F']",[],-162,1,-162,,
5_From_Review_200,['C'],"['C', 'C']","['C', 'F', 'F', 'C']","['F', 'C', 'F', 'C']","['F', 'F']",[],-162,1,-162,,
7_From_Review_200,['C'],"['C', 'C']","['C', 'F', 'F', 'C']","['C', 'F', 'F', 'C']","['F', 'F']",[],-162,1,-162,,
0_From_Review_262,['C'],"['C', 'H']","['F', 'F']",[],[],[],-205,,,-205,
0_From_Review_264,['C'],"['C', 'H']","['F', 'H']",[],[],[],-186,,,-186,
0_From_Review_265,['C'],"['C', 'H']","['F', 'H']",[],[],[],-165,,,-165,
5_From_Review_266,['C'],"['C', 'C']","['C', 'H', 'H', 'F', 'F']","['C', 'H', 'H']","['C', 'H', 'H']","['H', 'H', 'H']",-174.8,,,-174.8,
4_From_Review_438,['C'],"['C', 'C']","['F', 'F', 'C', 'C']","['C', 'H', 'C', 'H']","['C', 'H', 'C', 'H']","['H', 'H']",-177,,,-177,
5_From_Review_439,['C'],"['C', 'C']","['C', 'H', 'H', 'F', 'F']","['C', 'H', 'H']","['O', 'H', 'H']",['H'],-176,,,-176,
3_From_Review_440,['C'],"['C', 'C']","['O', 'H', 'H', 'F', 'F']",['H'],[],[],-179,,,-179,
4_From_Review_441,['C'],"['C', 'Cl']","['F', 'F']",[],[],[],-143,,,-143,
4_From_Review_442,['C'],"['C', 'Br']","['F', 'F']",[],[],[],-145,,,-145,
4_From_Review_443,['C'],"['C', 'I']","['F', 'F']",[],[],[],-150,,,-150,
3_From_Review_444,['C'],"['O', 'C']","['C', 'F', 'F']","['H', 'H', 'H']",[],[],-138,,,-138,-138
4_From_Review_445,['C'],"['C', 'O']","['F', 'F', 'C']","['F', 'F', 'F']",[],[],-141,,,-141,-141
4_From_Review_446,['C'],"['C', 'S']","['F', 'F', 'C']","['F', 'F', 'F']",[],[],-155,,,-155,
4_From_Review_447,['C'],"['C', 'O']","['F', 'F', 'C']","['C', 'C']","['C', 'H', 'C', 'H']","['C', 'H', 'C', 'H']",-134,,,-134,-134
4_From_Review_448,['C'],"['C', 'C']","['F', 'F', 'F', 'F', 'C']","['F', 'F', 'C']","['F', 'F', 'C']","['F', 'F', 'F']",-193.4,,,-193.4,
4_From_Review_449,['C'],"['C', 'C']","['F', 'F', 'F', 'F', 'C']","['F', 'F', 'C']","['F', 'F', 'C']","['F', 'F', 'H']",-188.7,,,-188.7,
0_From_Review_450,['C'],"['C', 'C']","['F', 'C', 'C', 'Cl']","['Cl', 'C', 'C', 'F']","['F', 'F']",[],-140,1,-140,,
3_From_Review_450,['C'],"['C', 'C']","['F', 'C', 'Cl', 'C']","['C', 'Cl', 'F', 'C']","['F', 'F']",[],-140,1,-140,,
7_From_Review_450,['C'],"['C', 'C']","['C', 'Cl', 'F', 'C']","['C', 'F', 'Cl', 'C']","['F', 'F']",[],-140,1,-140,,
9_From_Review_450,['C'],"['C', 'C']","['C', 'F', 'Cl', 'C']","['C', 'Cl', 'F', 'C']","['F', 'F']",[],-140,1,-140,,
0_From_Review_451,['C'],"['C', 'C']","['C', 'H', 'C', 'F']","['F', 'C', 'C', 'Cl']","['F', 'F']",[],-138,1,-138,,
4_From_Review_451,['C'],"['C', 'C']","['C', 'H', 'F', 'C']","['F', 'C', 'Cl', 'C']","['F', 'F']",[],-138,1,-138,,
6_From_Review_451,['C'],"['C', 'C']","['C', 'F', 'Cl', 'C']","['C', 'H', 'F', 'C']","['F', 'F']",[],-141,1,-141,,
10_From_Review_451,['C'],"['C', 'C']","['C', 'Cl', 'F', 'C']","['C', 'F', 'C', 'H']","['F', 'F']",[],-141,1,-141,,
0_From_Review_452,['C'],"['C', 'C']","['C', 'H', 'C', 'F']","['F', 'C', 'C', 'Br']","['F', 'F']",[],-138,1,-138,,
4_From_Review_452,['C'],"['C', 'C']","['C', 'H', 'F', 'C']","['F', 'C', 'Br', 'C']","['F', 'F']",[],-138,1,-138,,
6_From_Review_452,['C'],"['C', 'C']","['C', 'F', 'Br', 'C']","['C', 'H', 'F', 'C']","['F', 'F']",[],-133,1,-133,,
